=== Phase 3: MONAI Spleen Segmentation Training ===
Device: cpu
/home/vboxuser/cv-project/monai-env/lib/python3.14/site-packages/monai/utils/deprecate_utils.py:320: FutureWarning: monai.transforms.spatial.dictionary Orientationd.__init__:labels: Current default value of argument `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` was changed in version None from `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` to `labels=None`. Default value changed to None meaning that the transform now uses the 'space' of a meta-tensor, if applicable, to determine appropriate axis labels.
  warn_deprecated(argname, msg, warning_category)
Training cases: 33  |  Validation cases: 8
  epoch 14/50  step 28/33  loss=0.2800
  epoch 14/50  step 29/33  loss=0.4274
  epoch 14/50  step 30/33  loss=0.3825
  epoch 14/50  step 31/33  loss=0.3608
  epoch 14/50  step 32/33  loss=0.5443
  epoch 14/50  step 33/33  loss=0.5457
Epoch 14 average loss: 0.4484  (95.4s)
Epoch 14 validation mean Dice: 0.1863
  -> New best model saved (Dice: 0.1863)
  epoch 15/50  step 1/33  loss=0.5455
  epoch 15/50  step 2/33  loss=0.2793
  epoch 15/50  step 3/33  loss=0.5463
  epoch 15/50  step 4/33  loss=0.4905
  epoch 15/50  step 5/33  loss=0.3755
  epoch 15/50  step 6/33  loss=0.3584
  epoch 15/50  step 7/33  loss=0.5446
  epoch 15/50  step 8/33  loss=0.5462
  epoch 15/50  step 9/33  loss=0.5483
  epoch 15/50  step 10/33  loss=0.4205
  epoch 15/50  step 11/33  loss=0.5471
  epoch 15/50  step 12/33  loss=0.5446
  epoch 15/50  step 13/33  loss=0.5391
  epoch 15/50  step 14/33  loss=0.5449
  epoch 15/50  step 15/33  loss=0.3500
  epoch 15/50  step 16/33  loss=0.3751
  epoch 15/50  step 17/33  loss=0.4275
  epoch 15/50  step 18/33  loss=0.3593
  epoch 15/50  step 19/33  loss=0.3739
  epoch 15/50  step 20/33  loss=0.3285
  epoch 15/50  step 21/33  loss=0.5466
  epoch 15/50  step 22/33  loss=0.3207
  epoch 15/50  step 23/33  loss=0.3123
  epoch 15/50  step 24/33  loss=0.5007
  epoch 15/50  step 25/33  loss=0.5463
  epoch 15/50  step 26/33  loss=0.5046
  epoch 15/50  step 27/33  loss=0.5486
  epoch 15/50  step 28/33  loss=0.2848
  epoch 15/50  step 29/33  loss=0.2920
  epoch 15/50  step 30/33  loss=0.5453
  epoch 15/50  step 31/33  loss=0.5444
  epoch 15/50  step 32/33  loss=0.4075
  epoch 15/50  step 33/33  loss=0.3650
Epoch 15 average loss: 0.4474  (90.6s)
Epoch 15 validation mean Dice: 0.1668
  epoch 16/50  step 1/33  loss=0.3739
  epoch 16/50  step 2/33  loss=0.5474
  epoch 16/50  step 3/33  loss=0.2441
  epoch 16/50  step 4/33  loss=0.3047
  epoch 16/50  step 5/33  loss=0.5442
  epoch 16/50  step 6/33  loss=0.5425
  epoch 16/50  step 7/33  loss=0.5421
  epoch 16/50  step 8/33  loss=0.5395
  epoch 16/50  step 9/33  loss=0.3497
  epoch 16/50  step 10/33  loss=0.2641
  epoch 16/50  step 11/33  loss=0.5446
  epoch 16/50  step 12/33  loss=0.2631
  epoch 16/50  step 13/33  loss=0.5406
  epoch 16/50  step 14/33  loss=0.5430
  epoch 16/50  step 15/33  loss=0.3675
  epoch 16/50  step 16/33  loss=0.2837
  epoch 16/50  step 17/33  loss=0.2838
  epoch 16/50  step 18/33  loss=0.4130
  epoch 16/50  step 19/33  loss=0.5386
  epoch 16/50  step 20/33  loss=0.3616
  epoch 16/50  step 21/33  loss=0.4005
  epoch 16/50  step 22/33  loss=0.3036
  epoch 16/50  step 23/33  loss=0.3590
  epoch 16/50  step 24/33  loss=0.3272
  epoch 16/50  step 25/33  loss=0.5366
  epoch 16/50  step 26/33  loss=0.3559
  epoch 16/50  step 27/33  loss=0.3151
  epoch 16/50  step 28/33  loss=0.5365
  epoch 16/50  step 29/33  loss=0.5110
  epoch 16/50  step 30/33  loss=0.3827
  epoch 16/50  step 31/33  loss=0.3289
  epoch 16/50  step 32/33  loss=0.3430
  epoch 16/50  step 33/33  loss=0.5361
Epoch 16 average loss: 0.4130  (87.4s)
Epoch 16 validation mean Dice: 0.2312
